,GHO,PUBLISHSTATE,YEAR,REGION,COUNTRY,SEX,Display Value,Numeric,Low,High,Comments
198,SA_0000001807,PUBLISHED,2016,EMR,SYR,MLE,201.4,,,,
199,SA_0000001807,PUBLISHED,2016,EMR,LBY,FMLE,107.5,,,,
200,SA_0000001807,PUBLISHED,2016,EMR,SDN,FMLE,101.2,,,,
201,SA_0000001807,PUBLISHED,2016,EMR,DJI,FMLE,128.9,,,,
202,SA_0000001807,PUBLISHED,2016,EMR,IRN,FMLE,111.9,,,,
203,SA_0000001807,PUBLISHED,2016,EMR,ARE,FMLE,81.5,,,,
204,SA_0000001807,PUBLISHED,2016,EMR,SOM,MLE,116.3,,,,
205,SA_0000001807,PUBLISHED,2016,EMR,QAT,MLE,116.2,,,,
206,SA_0000001807,PUBLISHED,2016,EUR,ITA,MLE,191.7,,,,
207,SA_0000001807,PUBLISHED,2016,EUR,BLR,MLE,245.3,,,,
208,SA_0000001807,PUBLISHED,2016,EUR,DNK,MLE,212.4,,,,
209,SA_0000001807,PUBLISHED,2016,EUR,AZE,FMLE,108.4,,,,
210,SA_0000001807,PUBLISHED,2016,EUR,CZE,FMLE,138.7,,,,
211,SA_0000001807,PUBLISHED,2016,EUR,GRC,FMLE,115.8,,,,
212,SA_0000001807,PUBLISHED,2016,EUR,MLT,FMLE,120.8,,,,
213,SA_0000001807,PUBLISHED,2016,EUR,MDA,FMLE,126.3,,,,
214,SA_0000001807,PUBLISHED,2016,EUR,ESP,FMLE,100.1,,,,
215,SA_0000001807,PUBLISHED,2016,EUR,MKD,FMLE,129.2,,,,
216,SA_0000001807,PUBLISHED,2016,EUR,MCO,MLE,No data,,,,
217,SA_0000001807,PUBLISHED,2016,EUR,ROU,MLE,269.1,,,,
218,SA_0000001807,PUBLISHED,2016,EUR,TUR,MLE,254.4,,,,
219,SA_0000001807,PUBLISHED,2016,EUR,CYP,MLE,192.2,,,,
220,SA_0000001807,PUBLISHED,2016,EUR,BGR,MLE,244.9,,,,
221,SA_0000001807,PUBLISHED,2016,EUR,AND,FMLE,No data,,,,
222,SA_0000001807,PUBLISHED,2016,EUR,FIN,FMLE,111.5,,,,
223,SA_0000001807,PUBLISHED,2016,EUR,GEO,FMLE,120.4,,,,
224,SA_0000001807,PUBLISHED,2016,EUR,MNE,FMLE,152.8,,,,
225,SA_0000001807,PUBLISHED,2016,EUR,NOR,FMLE,131.6,,,,
226,SA_0000001807,PUBLISHED,2016,EUR,KGZ,MLE,158.6,,,,
227,SA_0000001807,PUBLISHED,2016,EUR,LTU,MLE,282.9,,,,
228,SA_0000001807,PUBLISHED,2016,EUR,SVN,MLE,253.4,,,,
229,SA_0000001807,PUBLISHED,2016,EUR,SWE,MLE,160.8,,,,
230,SA_0000001807,PUBLISHED,2016,EUR,TUR,FMLE,112.7,,,,
231,SA_0000001807,PUBLISHED,2016,EUR,UKR,FMLE,126.2,,,,
232,SA_0000001807,PUBLISHED,2016,EUR,PRT,MLE,227.3,,,,
233,SA_0000001807,PUBLISHED,2016,EUR,BEL,FMLE,129.5,,,,
234,SA_0000001807,PUBLISHED,2016,EUR,HRV,FMLE,151.8,,,,
235,SA_0000001807,PUBLISHED,2016,EUR,ITA,FMLE,120.5,,,,
236,SA_0000001807,PUBLISHED,2016,EUR,KAZ,FMLE,162.3,,,,
237,SA_0000001807,PUBLISHED,2016,EUR,SVK,FMLE,155.8,,,,
238,SA_0000001807,PUBLISHED,2016,EUR,SVN,FMLE,145,,,,
239,SA_0000001807,PUBLISHED,2016,EUR,MDA,MLE,244.7,,,,
240,SA_0000001807,PUBLISHED,2016,EUR,TKM,MLE,172.2,,,,
241,SA_0000001807,PUBLISHED,2016,EUR,UKR,MLE,247.2,,,,
242,SA_0000001807,PUBLISHED,2016,EUR,ALB,MLE,186.4,,,,
243,SA_0000001807,PUBLISHED,2016,EUR,DEU,MLE,198.9,,,,
244,SA_0000001807,PUBLISHED,2016,EUR,GRC,MLE,221.3,,,,
245,SA_0000001807,PUBLISHED,2016,EUR,AZE,MLE,192.5,,,,
246,SA_0000001807,PUBLISHED,2016,EUR,BEL,MLE,204.3,,,,
247,SA_0000001807,PUBLISHED,2016,EUR,MLT,MLE,181.6,,,,
248,SA_0000001807,PUBLISHED,2016,EUR,MNE,MLE,255.1,,,,
249,SA_0000001807,PUBLISHED,2016,EUR,RUS,MLE,298.4,,,,
250,SA_0000001807,PUBLISHED,2016,EUR,SRB,MLE,261.6,,,,
251,SA_0000001807,PUBLISHED,2016,EUR,AUT,FMLE,123.6,,,,
252,SA_0000001807,PUBLISHED,2016,EUR,BLR,FMLE,110.4,,,,
253,SA_0000001807,PUBLISHED,2016,EUR,CYP,FMLE,107.8,,,,
254,SA_0000001807,PUBLISHED,2016,EUR,DNK,FMLE,162.4,,,,
255,SA_0000001807,PUBLISHED,2016,EUR,PRT,FMLE,108.8,,,,
256,SA_0000001807,PUBLISHED,2016,EUR,ROU,FMLE,140.2,,,,
257,SA_0000001807,PUBLISHED,2016,EUR,SWE,FMLE,128.3,,,,
258,SA_0000001807,PUBLISHED,2016,EUR,TJK,FMLE,99.1,,,,
259,SA_0000001807,PUBLISHED,2016,EUR,NOR,MLE,178.6,,,,
260,SA_0000001807,PUBLISHED,2016,EUR,BIH,FMLE,115.3,,,,
261,SA_0000001807,PUBLISHED,2016,EUR,BGR,FMLE,135,,,,
262,SA_0000001807,PUBLISHED,2016,EUR,ISR,FMLE,127.9,,,,
263,SA_0000001807,PUBLISHED,2016,EUR,KGZ,FMLE,105.6,,,,
264,SA_0000001807,PUBLISHED,2016,EUR,LVA,FMLE,142.8,,,,
265,SA_0000001807,PUBLISHED,2016,EUR,SMR,FMLE,No data,,,,
266,SA_0000001807,PUBLISHED,2016,EUR,SRB,FMLE,155.2,,,,
267,SA_0000001807,PUBLISHED,2016,EUR,POL,MLE,278.8,,,,
268,SA_0000001807,PUBLISHED,2016,EUR,GBR,MLE,189.7,,,,
269,SA_0000001807,PUBLISHED,2016,EUR,UZB,MLE,86,,,,
270,SA_0000001807,PUBLISHED,2016,EUR,AND,MLE,No data,,,,
271,SA_0000001807,PUBLISHED,2016,EUR,ARM,MLE,354.5,,,,
272,SA_0000001807,PUBLISHED,2016,EUR,GEO,MLE,199.9,,,,
273,SA_0000001807,PUBLISHED,2016,EUR,HUN,MLE,322.9,,,,
274,SA_0000001807,PUBLISHED,2016,EUR,FRA,MLE,219.3,,,,
275,SA_0000001807,PUBLISHED,2016,EUR,MCO,FMLE,No data,,,,
276,SA_0000001807,PUBLISHED,2016,EUR,ISL,MLE,167.5,,,,
277,SA_0000001807,PUBLISHED,2016,EUR,ISR,MLE,174.3,,,,
278,SA_0000001807,PUBLISHED,2016,EUR,EST,MLE,285.6,,,,
279,SA_0000001807,PUBLISHED,2016,EUR,HUN,FMLE,178.9,,,,
280,SA_0000001807,PUBLISHED,2016,EUR,IRL,FMLE,149,,,,
281,SA_0000001807,PUBLISHED,2016,EUR,LUX,FMLE,125.4,,,,
282,SA_0000001807,PUBLISHED,2016,EUR,CHE,MLE,170,,,,
283,SA_0000001807,PUBLISHED,2016,EUR,MKD,MLE,226.3,,,,
284,SA_0000001807,PUBLISHED,2016,EUR,AUT,MLE,184.2,,,,
