,GHO,PUBLISHSTATE,YEAR,REGION,COUNTRY,AGEGROUP,SEX,Display Value,Numeric,Low,High,Comments
4640,BP_06,PUBLISHED,2001,EUR,MLT,YEARS18-PLUS,FMLE,125.1 [119.5-130.7],125.1,119.5,130.7,
4641,BP_06,PUBLISHED,1989,AFR,MRT,YEARS18-PLUS,FMLE,128.4 [120.9-135.7],128.4,120.9,135.7,
4642,BP_06,PUBLISHED,1988,AFR,MUS,YEARS18-PLUS,FMLE,123.5 [120.0-127.0],123.5,120.0,127.0,
4643,BP_06,PUBLISHED,1998,AMR,MEX,YEARS18-PLUS,FMLE,123.0 [120.4-125.6],123.0,120.4,125.6,
4644,BP_06,PUBLISHED,1977,EMR,MAR,YEARS18-PLUS,FMLE,127.0 [117.1-137.1],127.0,117.1,137.1,
4645,BP_06,PUBLISHED,1983,EMR,MAR,YEARS18-PLUS,FMLE,127.5 [119.3-135.4],127.5,119.3,135.4,
4646,BP_06,PUBLISHED,1984,AFR,MOZ,YEARS18-PLUS,FMLE,126.1 [119.1-132.6],126.1,119.1,132.6,
4647,BP_06,PUBLISHED,2012,WPR,MHL,YEARS18-PLUS,FMLE,120.0 [113.1-126.7],120.0,113.1,126.7,
4648,BP_06,PUBLISHED,2013,AFR,MRT,YEARS18-PLUS,FMLE,128.3 [119.8-136.9],128.3,119.8,136.9,
4649,BP_06,PUBLISHED,1996,EUR,MKD,YEARS18-PLUS,FMLE,128.7 [121.6-135.9],128.7,121.6,135.9,
4650,BP_06,PUBLISHED,1994,SEAR,MDV,YEARS18-PLUS,FMLE,121.1 [114.7-127.7],121.1,114.7,127.7,
4651,BP_06,PUBLISHED,2007,AMR,MEX,YEARS18-PLUS,FMLE,122.2 [120.0-124.4],122.2,120.0,124.4,
4652,BP_06,PUBLISHED,2008,WPR,FSM,YEARS18-PLUS,FMLE,122.4 [119.2-125.6],122.4,119.2,125.6,
4653,BP_06,PUBLISHED,2000,WPR,MNG,YEARS18-PLUS,FMLE,126.6 [122.9-130.2],126.6,122.9,130.2,
4654,BP_06,PUBLISHED,1999,EUR,MNE,YEARS18-PLUS,FMLE,127.5 [120.6-134.6],127.5,120.6,134.6,
4655,BP_06,PUBLISHED,2008,EUR,MNE,YEARS18-PLUS,FMLE,126.5 [119.6-133.6],126.5,119.6,133.6,
4656,BP_06,PUBLISHED,1978,AFR,NAM,YEARS18-PLUS,FMLE,125.4 [116.9-133.7],125.4,116.9,133.7,
4657,BP_06,PUBLISHED,1981,WPR,NRU,YEARS18-PLUS,FMLE,131.3 [127.6-135.1],131.3,127.6,135.1,
